emotion,content
happiness,"@iloveicetea haha when is it? good luck babe  &amp; UPLOAD A PHOTO, WILL YA ?"
happiness,"@DavidArchie OK David, talk later  Have a great dayyyy ay ay ay ay"
happiness,@hrcolors Maybe it had a hot date with a nice little Cesna.
happiness,"@kyspeaks  Yah, they have footlong sausage too mah. But Halal place..piggy sausages are bigger"
happiness,@galacticfaerie Sounds great. I'm looking forward to it then
happiness,...love and wanted to share with my followers. feeling inspirational. ive had a long day.
happiness,@velvetella Bye ! Have a great time being whisked away
happiness,"@BoomKatt yes yes I AM, networking whore to the fullest.......and this girl is rih next to me"
happiness,"@alicedric can't wait for it. i love your scripts. honestly, you should have a future career as a script writer  - Stock Twits"
happiness,"@MrMaxROI Hey, it's good to see you here! Will now follow you. Would be nice to have a photo!"
happiness,"Tweet you later, have a wonderful day."
happiness,Got my braces tightened today. Then I got McDonalds! HAHA  Sport tomorrow yay yay yay! Netball tryouts.. wish me luck to make the team! :l
happiness,@Rosiecosy Thanks for sympathy. It wasn't too bad until about an hour ago when I started thinking of the appointment tomorrow.
happiness,tafe was actually quite good. for once
happiness,@wickedgirl24 glad you like it
happiness,Photo: Great night.  http://tumblr.com/xmo1pgymj
happiness,@amber_benson  Woohoo! Well Done! I started Macarena-ing too
happiness,Bank holiday mondaaaaaay   Exams tomorrow  D:
happiness,@Gennargh I also have a brain tumor called Jeffery.
happiness,is excited. Lots of good things happening work-wise here in Melbourne
happiness,recovering from mexican fiesta. Had a bit too much of a good time!
happiness,New baby arrived yesterday. A fab baby boy at 2.8 kilo  Very proud and happy
happiness,which is why i can't wait till i move out of home and life by myself next year  WACKY ADVENTURES EVERY DAY!!!!!
happiness,is choosing to do britney for the dance showcase! yesss  cant wait. 58 days....
happiness,still awake..doing my assignments and playing virtual farming
happiness,@vene2ia Great!
happiness,"I think more people would buy the Slap chop, if the commercial was like this: http://bit.ly/vQIUf"
happiness,watching a movie and rocking my baby kitty who is asleep in my sling hanging from my neck. So cute
happiness,@PeopleBrowsr nice new profile picture! Glad to see some friends in there
happiness,"@DavidArchie  AWOOOOGAHHHHHH!!!! heheee hope you get some decently priced breakfast real quick, David"
happiness,supernatural is back on tonight !!
happiness,but omg mummy bought me ice-cream!
happiness,@deversum good morning Hazel  caffeine-shot?
happiness,@niuts14 Our weekend was also great... two friends of Julia were here for four days...
happiness,Ah. Bank holiday morning...reading Elle in bed and getting excited for a roast dinner in Sheering later
happiness,@abstractg @grendel @tigertigercb woohoo! I got the Sunbeam Cafï¿½ Series grinder at Eu Foods for only $198! Epic win
happiness,"@pixelbase @steverumsby I care about Eurovision! And yes, they have a 50% jury-based vote this year  #eurovision2009"
happiness,because he @the_real_nash wants to be an honorary Filipino  i'll follow him now ;)) thanks @daxvelando!
happiness,@Emmmaa___ haha was it good? i bet it was
happiness,mmm  eating tostitos &amp;&amp; piknik with spinach dip from S&amp;R. &lt;3
happiness,"@chainsawchelsea If it's any consolation, you're definitely one of the hottest GG's, IMHO"
happiness,@khali_blache Night! Doze well.
happiness,@DonnieWahlberg  &quot;donnie rocks&quot; if u could only here it my 2year old runs around every where sayin &quot;donnie rocks&quot;
happiness,@maydbs Its looking like June - nice right?
happiness,Prom was awesome.
happiness,9100 tweets....just living the rockstar life one tweet at a time.
happiness,possessed beyond certainty that she has made the rite decision
happiness,"@RealBillBailey good moring mr bailey, it is my birthday today"
happiness,spending a 'girly' day wif my four big sisters! shopping. pedicures and dyeing eachother's hair. ohh yeah
happiness,@johna404 Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
happiness,Would really like to buy death note 1 &amp; 2 later this week  I loved those movies!
happiness,@ELLISNYC we should all be down to earth. don't none of us walk on water  I'm just some horny nerd trying to find my way thru life lol
happiness,"@roel247 Thank you good sir, it has been a surprisingly good afternoon, very productive"
happiness,Ay dios mio! 2 weeks left of college!!! AH CAN'T WAIT!!
happiness,@eltonmcmanus  &amp; to you matey
happiness,wlcome @johiw44 - i'm proud of my girlfriend
happiness,@jnacool I dont understand sensex..but wow!
happiness,Good day today tomorrow will be even better
happiness,@djinfrared Sounds pretty cool. Great job man!
happiness,@jasonhoun Haha of course! That's my favorite album of all time
happiness,@EMarketingGuru Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
happiness,dinner was awesome. Im so happy my mom enjoyed her bday  I was able to spoil her yay lol
happiness,@QuestCon That gave me a great smile. Nice way to end the day. You are so right
happiness,lovely night of steve-o and family guy. off to bed.
happiness,"@HOTTVampChick Excellent, he will never know, lmao."
happiness,1 more day!
happiness,@rajrikhy Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
happiness,"okay, really going now...STOP MAKING ME LAUGH LIKE THAT!!"
happiness,morning! just got my coffee
happiness,Headed up to WMC for the day. Hopefully I'll have enough time to swing by Chinatown on the way home. I'm in the mood for duck!
happiness,"Watched Yes Man, it was good  http://tinyurl.com/dbrc88"
happiness,"it's a perfect day to throw back your head and kiss it all good bye - love it, so cheerful!!  ? http://blip.fm/~5jckp"
happiness,may the fourth be with you! happy star wars day
happiness,@Mandarific well on a day off you owe it to yourself to sleep in late
happiness,Just got back from the karaoke bar in the metreon!!! Watching millionaire matchmaker
happiness,@dannnnnniiiie lol brandy and mr whiskers is on
happiness,@Karen230683 morning  hope u r well.. i'm off to bed soon!
happiness,@pauliniunia its the best show EVER!
happiness,Monday morning bathing - soooo relaxing! If I was a lady of luxury I would start every day like this
happiness,@barbsaka I love finding regional groups of Twitterers! Glad I could connect you with a few new people
happiness,The sun is shining
happiness,@amber_benson Loved it! You continue to delight us Amber.    Great job on the backing and the video by @adambusch. Kudos.
happiness,ehh i need a break. gonna do 3pg essay 2m before work at 5. going to bed now. gym in the morning! nightttt
happiness,@jaackyx ha you'll do fine! just be positive!  &amp;aha i know huh. wht a long conversation. i remeber you and allyson did even lnger ones! x]
happiness,@Amaury_Polanco Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
happiness,@girlwhoshould but it's fun when they blatantly ignore the advice
happiness,"@DebPenner Deb,, I am looking forward to exploring simple=ology/Mark Joyner.  I'll be back in about 10 hours."
happiness,@DarryleP Am busy yes...But then always am. Hope you had a great time traveling.  Where did you go?  Welcome back!
happiness,"@StDAY Dude, that is eerie. Good song though, and a good movie."
happiness,"@jason_2008 Well, having to revise them!  Was to do some more gardening, now, I guess hoovering and some warcraft  Not played in a week !"
happiness,"@SteffaniYu haha! i see...  go, wear BLUE! ) heey, ur watching JONAS! hahaha ) haven't watched any ep yet.. hope it shows here soon!:p"
happiness,"@gi_ri_ja good morning, It's nice to see you!"
happiness,"So happy that it's FINALLY May!    The Indy 500.  Was there for the horrors of 1973, yet I still remain held captive by Indy's spirit..."
happiness,@cosmicgirlie good luck!! How exciting
happiness,lol haha very funnyyy lol im talking to my bestfriend ashleyyyy!!!
happiness,Waking up early to go to the gym
happiness,@codingvictim nice to have you back
happiness,Having rice crispies this morning  Brings back some good memories!
happiness,@AmineB perfect!
happiness,@CHIOMA_ yeeeee  Haha. The funniest thing is when dudes that cant ball bring their hot gfs along so they can watch them get murked!
happiness,"@mzjennx uhh, congrats for your two years anniversary"
happiness,Off for a bit of a motorcycle trip today!
happiness,@janevans35 LOL I love my MacBook too. Oh and my iMac. Can't decide which I love more. OK 24&quot; iMac trumps 13&quot; MacBook
happiness,Laying on my bed. ONE spot smells like vanilla.  awesome
happiness,"@ohmoss curing le hangover from an epic night, bruised 'n battered from a hectic go-karting session. pretty satisfied thank you very much"
happiness,Getting the FAB portraits ready to upload today
happiness,"@MikeyAllStars  We are of like minds this evening , my dear!"
happiness,"@myucan91 wahahahaha!! i wanna naaaaa!!! well...hapit na i guess. hahahaha ) yes, now we all know!!! hahahaha lol ) NARN! haha joke"
happiness,Yay! Good way to end the night.
happiness,chillin with christina and diana
happiness,@joek949 I'm okay thanks. No job yet but I'll keep going until I get one! Are you actually following me yet BTW?
happiness,@heyshanny I can't wait either!!!!! your so welcome  YAY!!!!!!!!!
happiness,@larainefan She does especially Pink ones LOL  What beautiful creatures they are!
happiness,@crazytwism haha.. good for you
happiness,Bit of soul time 4 this mama  will visialize next living environent. Speak soon.
happiness,@ProudKiwi thanks for the message - just worked out how to see them and reply!
happiness,@DavidArchie See you on may 16!!
happiness,in the airport!!!  only 8 hours til hoommee!
happiness,"Goodmorning tweedles  very happy mood, i think i will always be after this past weekend. lol vids of the 'BEYONCE WEEKND' coming soon."
happiness,went to eastgardens and saw a lot of hillsong pastors there Now im going to Nicks for dinner. Cant wait to talk to you soon @sherrymacs
happiness,nice weather today in Alex
happiness,Now I have to think of things to say    And before that I have to make super chunk chocolate muffins with my kids
happiness,@shakedxit23 I'll save you
happiness,Is ending the day with another walk nice walk and then some gelato
happiness,just woke up with a cat in my face  haha
happiness,Got the BrainBone daily question right!  - http://tinyurl.com/c9ryqc
happiness,"Heeey, we won ice hockey....we are winners!!"
happiness,@marismith - just took over the #1 Most Endorsed spot on twindexx.com - thanks to the endorsement by @danholmesiMIND
happiness,finally leaving this place! woohoo! school time!
happiness,@Lauratheexpat isn't a bit of little britain in all of us?
happiness,"@pandalion WOW! Totally awesome! Action Guinea Pigs! Want to go and see it now, NOW! Do you think we'd be allowed to take Lance?"
happiness,@threatbot It's going to be a fun night and I'm helping host it!!!
happiness,@xMyrthe you writing fanfic? me read!
happiness,"Happy Star Wars Day, may the 4th be with you  my lil' 12yr old bro is at home playing with a lego AT-AT and dozens of stormtroopers."
happiness,@LoveLoyaltyLife Very impressive  I'm the same way. 100%
happiness,1 lovely one before waking up
happiness,FINALLY have a working (subbed!) copy of Pika?Nichi.   Heeeee.
happiness,"mondays agenda: last class/final of the semester, work, sorority meeting, happy hour."
happiness,"yaayy, cannot wait for today girls!  gotta get dressed this early, because were going early!"
happiness,Good morning
happiness,All moved in to our new apartment. So exciting
happiness,I  have always been a sucker for the sound of an acoustic guitar!
happiness,I AM OFFICIALLY CELEBRATING MY 400TH TWEET. Wow! I am so proud  Its great.
happiness,Watched Kunguma poovum konjuma puravum... Liked it very much!  excellent cinematography!!!
happiness,good morning world
happiness,@ohmonika babe text me your email address so i can send it over
happiness,loves it that the first Monday of May is a Bank Holiday!  http://plurk.com/p/roxar
happiness,"@emalyse David Aaronovitch is always worth making an exception for  (Good morning, by the way)"
happiness,If anyone know anyone that made aliyah with the help of Nefesh BNefesh please contact me. I would love to talk with them.
happiness,"@girlsmadethis i want all kinds of designer suggestions darl  any and all. mens, womens, anything! formal/street/alternate. whatever!"
happiness,It's raining that fine rain!!! U know the fine rain that wets you the most
happiness,Morning Ali a big thank you for yesterday love you always xxxx. You out on the bike today? Don't forget to get a helmet ok
happiness,@mjasenn i totally owe you a week of on-call duties.  i appreciate not having those while jill is in town
happiness,May the 4th be with you! Happy Star Wars Day twirps!  ROFL
happiness,Going to shopping place thingie! BRB LATERZ!
happiness,@taufiqz I watched that too! I liked it
happiness,@kadambariyer thanks.. that was quick..
happiness,@flickstack hehe i will never thorw out these shoes  i'm listening to varsity fanclub surprise surprise  sway sway baby is awesome
happiness,@rosieroserosie can't believe i wasn't following you! am now  have an anatomy prac tmw so tonight i'm all about structr of the lwr limb
happiness,thanks for the raspberry-Laced Vanilla Cake
happiness,@ddlovato Your second episode of Sonny WAC was on in New Zealand tonight. You were (and still are) AMAZING! ily  xx
happiness,morning prayer meeting  how AMAZING is the gift of prayer!!!  i'm completely buzzing this morning! In christ alone my hope is found!
happiness,@sabrinabryan hi my name is Chelsea and i respect your opinion when it comes to dwts. you were great on there too!
happiness,Up and washed  I'm clothing myself as I type xD WOOOO
happiness,@XoGraceoX hahaha im listening to SHES A LADY! haha ily FTSK    xx
happiness,Happy Star Wars Day! May the 4th be with you  (via Nige the Goth)
happiness,"Morning all. First tea of the day, and just about to record the voiceover for a documentary about modern Druidry. Good times"
happiness,who has a day long text conversation? me.
happiness,And the sun is back up again.  Could we have more of the kind of weather we had last January and February? I like jackets.
happiness,hahaha @IkeBot is SUCH nonsense
happiness,"@khanserai I know how you feel!On the bright side, you're moving to a place where it would be appreciated!  Onwards and upwads!"
happiness,@KevinRButters i was in chiangmai for a month last year during loy krathong. best festival ever.
happiness,http://tinyurl.com/d7tb38 Nice Photoshop Effects
happiness,@rhettroberts haha best thing about office birthdays hey
happiness,@zykloid Thanks!
happiness,"Haha! just overheard on the us. 3 yrold to mom &quot;mom, I think I should learn to read today&quot;"
happiness,"@cheadlek Another one will be coming later in the week, i won a Westlife DVD on trademe, one that i have been after!"
happiness,Awaiting to watch lfctv @ 10am  liverpool vs newcastle game from yesterday!
happiness,@aimzsta hehehehe oh i love the Purate ENglish sooo much
happiness,man.....i'm at a loss for words.....looks like i'ma get an unexpected graduation gift.....in a good way
happiness,"@souravghosh Dreams give rise to reality. When they said I wouldn't   walk, my dream was to fly! Dream, Believe, Achieve!"
happiness,@QUEENKAK oh thank you thank you! Was hoping the video will be online
happiness,my sister said yayyy its hannah HOEdown today  haaaa hannah is a hoe apparently hoe.
happiness,Star wars day! May the 4th be with you.
happiness,uploading a lot of photos... priceless memories
happiness,Chilling out listning to Seal!!
happiness,@emjaystar haha thanks  yep definately a dream come true!  So excited the camera was shaking when i was taking a photo!
happiness,after 9 weeks it has finally rained - not quite enough yet but more seems to be coming  the garden is very happy about it.
happiness,"ready to go to sleep... its too hot in my room, yey first time sleeping in that huge bed  excited!"
happiness,@ralfrottmann thank`s ... See? now I`m back on smiling
happiness,@tfollowers thanks 4 the folow
happiness,@jadeeisabel nah they were mine  @brydielonie had ones without fingers
happiness,@Pon_and_Zi Thanks! I'm on my way now
happiness,i woke him up in the end. Got bored.
happiness,"@petespencer Yeah,we say shite alot here. you say it as shiiite,rhyming with light"
happiness,chill`N witH tHE BABEz
happiness,"@CrystalJanee greaaat, do minee now pleaseeeeee"
happiness,@jakeashley cheer up
happiness,Watching Bleach
happiness,is having a cuppa and chilling... i lovebank holiday mondays
happiness,@kyleandjackieo what about Your Body by Tom Novy or Voodoo Child by Rogue Traders. They are from 04/05. Good memories from these songs
happiness,"@misskittymarie Same here - events + writing songs. But I just finished my TMNT vs MMPR song, so I'm excited to record that on Wednesday"
happiness,"@missamanda yeah, i'll take care of it tonight/tomorrow  just pay me on the night, easy"
happiness,Happy Birthday tooo meeee... Happy Birthday tooo meeee...
happiness,im really really excited  try this out guys!
happiness,"Hope I'm not coming down with piggy flu, eyes red. Neck no longer holds up heavy head. Time for sleep.  Sogni D'oro all!"
happiness,At walmart playing hide and seek.
happiness,just left work. inventory was way easy  and I got to put in my highschool musical 3 cd! it was amazing. goodnight goodnight everyone :]
happiness,Oh yeaah.  we'll still be bffs  aha @Sadie_marie.
happiness,is super happy at the new interest rate.  whoop whoop.
happiness,@lopezwilfred Yeah. Me too. Will lookout on your tweets too. Happy Tweeting
happiness,"me 10 - 630, andrew 8 - 4. No idea about the rest, I think it was Ben and Princeton which could be fun  lol I'm going to be late"
happiness,pool party at sherraton n brodi had  a blast! the friends made the evening bbqd at home with great conversation  funky n lifted day!!
happiness,@itshazel wow five years? Congrats
happiness,I'm going home now. Have you seen my new twitter design? Quite....heavenly isn't it?
happiness,"@Ciaee Yessir, yessir, three cheeks full."
happiness,"@samanthuh MISS YOU TOO! Yes, I will  I'm usually free pag after dinner. Rarely during the day. Basta text text"
happiness,Nothing like home-made paranthas for breakfast
happiness,@vewe haha. Hope U have a Great Laugh as Laughter is the Best Medicine
happiness,"@HellenBach Sounds like the very best sort of work then! Jenni seems lovely,so nice to hear that she is when meeting 'in the flesh' too!"
happiness,I forgot I have lumpia and pancit in my fridge from last night! Yay
happiness,"Hah! I saw the Wolverine last night!!! Now I can die happy, well not yet though, got a few things to get done first, but was my MoY"
happiness,@DonniesCupcake i bet they will be great bags! Can't wait!
happiness,@zef  the car illusin is Kool
happiness,Monday morning  Lots to go out.. just waiting for a mate to add a style to my table and im set
happiness,"@giogadi Hey Luis, thanks!  I have Flash and my prof's code to thank for that.  *cough*"
happiness,@joyee0720 Thanks PP!
happiness,@danijelabaron good morning from Lincolnshire. I could use some exercise also
happiness,"Sometimes after a long weekend, you just need good conversation. thanks bro"
happiness,"anyone drive a newish diesel car? any advice on pros cons? not interested in old diesel cars, need recent model experience, eg SUV"
happiness,lees net op Twitter dat het #Happy Star Wars day is... &quot;May the 4th be with you&quot;... Sjeez wat slecht
happiness,Back in the office for a hectic week - but the weekend was awesome
happiness,@ralphp eagerly anticipating twitpics
happiness,@donatoclassic me too
happiness,Ok so this shower has been calling my name for about an hour I think I'll indulge &amp; respond now while I allow Robin Thicke to serenade me
happiness,@timen Great idea
happiness,- It's time for Kathleen to go to bed... waaaaay past time. Don't expect to hear from me before noon. lol  Have a BLESSED morning.
happiness,new supernatural tonight!
happiness,"@FaithfulChosen So-so, thanks  I've uploaded a new campaign vid, will post the link in a few mins. how are you doing, babe??"
happiness,about to go to acting school  yayay
happiness,@peterjrday Thanks. Feel so happy 2 Make Ur Day a Great one. Enjoy it 2 the fullest N Have Fun Always
happiness,"If anyone needs help with images, let me know and i will convo you the forum's link"
happiness,"@kevinriley Heh, thanks for that adorable plug  *cough* more info at: www.samstephens.com *cough* *cough*"
happiness,@MarieLuv ahh that would rock
happiness,Rachmaninoff makes me a happy panda.
happiness,@Mintyboi i can smack your head for you
happiness,"http://tinyurl.com/c4z6gn Wow.. Wow.. hope, i too get that sort of Guts in near future"
happiness,@AnGee10 @malennaa yess... it's awesomee.. and u can follow ur love molly hahah....  now u can chat with us here!
happiness,@wortje The bag looks stylish. Congrats!
happiness,@ksidney wolverine was GREAT!!!  a must see
happiness,@kiki_miacherry morning kik enjoy your breakfast
happiness,@Steph_Atticus Thank you
happiness,on my way home from school  lol in my car and so tired!
happiness,*yaaaawwwwnnnn* thx to bank holiday... let's see what today has prepared for us...
happiness,THE best job in the world &amp; yes its in Australia  http://tinyurl.com/clxl4l
happiness,"Shopping, grandparents, dinner with the bf  woop"
happiness,New Project is going incredibly well! and I'm not tired today  I think we should get all Monday's off. Permanently.
happiness,big shout out to all my home girls you know who you are
happiness,11 days till county raly  i had 2 tak 3 from 14 it took me a while
happiness,"is so excited for this summer... Steve Winwood and Eric Clapton, Eagles of Death Metal, and ahhh the Dead Weather"
happiness,has just finished recording the improvisation for the second instrument in the latest podcast and is happy. nearly mixing time.
happiness,"@_josh_thomas are you coming to sydney?! cool, where can i meet you? id love to meet you, you're my favourite comedian"
happiness,"houstatlantavegas, sooner than later, nov. 18th, a night off, successful . over and over for the last 2837 hours - heavennn"
happiness,Watched Coraline last night. It was really good. The animation was excellent and the creativity was inspirational.
happiness,"Didn't get bitten by a rabies infested person last night  yay for me! Gonna scare Rachel with Quarantine tonight, this shall be fun"
happiness,"Now i've got 3 new frens-frm Germany,Mexico n France  havin dinner 2gather 2nite."
happiness,will deplurk too. buhbyeee  http://plurk.com/p/rp3ir
happiness,Home from Disney...best time in a long time...howl at the moon tonight for GBA and then BHB Tuesday  oh drummer boy  niiight
happiness,"// happy Star Wars Day everyone, May the 4th be with you"
happiness,http://slingalink.com/eVicE1 my daughters kindergarden  !
happiness,@aussiemcflyfan i hope so  I KNOW WOO! haha 2 times  it was exciting lol
happiness,@AmyatQ13 @borborigma I agree about the redesigned Q13 site! Looks great on computer &amp; phone.
happiness,@DeepaPrabhu Thanks and thanks
happiness,new golf VI TSi 160HP is fast!
happiness,&quot;leave the pieces&quot; - the wreckers... hmm
happiness,"oh, it's @andremichelle 's birthday! happy birthday andre michelle"
happiness,"@sunrisesister yeah, so quick! And I'm using the 5mm addi's I bought on Sat and it makes it even smoother"
happiness,Happy Star Wars Day  May the fourth be with you!
happiness,"Hehe, @stereogum in @brooklynvegan sta se malce preve? vï¿½ivela v v?erajï¿½nji Dark was the night koncert  No, ob takem lineupu..."
happiness,@imeldalaura it's a woodchipper &amp; it's gonna top off the weekend just nicely
happiness,@bellothika  The flowers grow!!
happiness,"Actually a great start to the day, hope it continues  getting my new american oversized bed in the evening!"
happiness,Happy Star Wars Day! .... May the 4th Be with You!
happiness,Going to have dinner. bbs
happiness,@tommcfly i am glad cos u wouldnt lose me as a fan anyway  i get to see you guys on saturday evening at leicester  it better be good!
happiness,@Wildchickendew muhahaha you've joined the tweet cult... lol heya  btw twitterific is a good iphone app i use
happiness,is eating chocolate ready break
happiness,@mkasper22 Thank you
happiness,@PhilLHerold Thank you
happiness,"YAHOO! volleyball, hiking, eating a fish eye, witnessing, sleeping on the beach, jumping rocks, &amp; hanging where Jurassic Park was filmed!"
happiness,"@ElvisHsiao  The website I'm developing - http://woo.sh lets you also share Videos, documents, maps and events - Later music too"
happiness,@RobKardashian Hey fellow Trojan..congrats on graduation.
happiness,@simonrim off to the cheese counter I go! Thanks
happiness,"@coconutfriend i should have shouldnt i, im happy you enjoyed it cos im thoughtful like that you see, and YAYA i hav 20 followers  woop"
happiness,wheelchair fitting today for mall buzzing &amp; Home Depot. &quot;Homebound&quot; just got REAL old  Goal: taxi yellow or electric RED!
happiness,Java Concurrency in Practice is probably the best Java book I've ever bought. There's a recipe in there for interrupting blocking IO ops
happiness,@uyaerdna thanks
happiness,"study all day.  just finished my care plan.  hungry as hell!  ima go treat myself with a burrito, for a good days work"
happiness,@LineHara Youuuu're an aaass  my aaass loooool
happiness,@chocolatesuze yes yes you should! Especially with wine and mushrooms!! Ummm I love mushies
happiness,@mariaandros guns and roses baby! yay!  was hopin you would blip.fm it
happiness,bali!! can wait for it
happiness,eating my tito's home made ice cream  yum!
happiness,"@RobTSmith Good morning to you as well Rob, have a great day"
happiness,"humm.... I adore Mark #hoppusday ,so I'm just going to throw it out there #hoppusday....... have a nice #hoppusday people!!"
happiness,@MXYZ_ I don't see how there could possibly be another choice.
happiness,@BreakfastNews ETS (Endoscopic thoracic sympathectomy) is an invaluable surgical procedure
happiness,wants to welcome @melizadeleon: back to Plurk again!  http://plurk.com/p/rp5po
happiness,Packing gym bag. Off to the gym in a bit. Squee! I'm my happiest whem I'm on the go.
happiness,@charley_bum lol *30 minutes slow* in a sec  i was just having fun tearing down old posters and putting up new ones
happiness,@rowsell will be following you tomorrow!!  sleep well
happiness,awesome lucky you
happiness,Welcome to everyone  Playerstation.it is now live on Twitter. www.playerstation.it
happiness,"@pureelite Thankss  Someone sent me another text this morning saying happy birthday, was from that number I told you about last night LOL"
happiness,@cheergod2002 yeah I can tell ha ha.
happiness,Home Sweet home &lt;3  Going to see Hannah Montana The Movie AGAIN today &lt;3 DDD
happiness,"@Appledoe Mmmm, I had honey mustard chicken w/ rice &amp; veges"
happiness,"@Jasonalbi Oh yea, my pain went down a little bit from laughing so hard which was good and nice for once."
happiness,"Monday blues? Not today, not for me."
happiness,@texasjackflash thnx 4 the follow
happiness,"@4_idiots hahaha! I don't work in a strip club you know  alrighty mister, have YOU done any public may dancing today?"
happiness,Great long-weekend so far   Going for a run now - no Judo tonight  Then off to Blue Water for some &quot;Retail Therapy&quot;
happiness,@RealLadyGaga hey.just putting it out there.. you should come to townsville next year..elton john came in '06 n loved it. it was great!!!
happiness,learning to play sweet child of mine on guitar.  yays.
happiness,@WKJThD You are very much welcome
happiness,@tracey1972 Morning babe!  I plan on overdoing it today! lol Hope you do rest &amp; put your feet up! xxxx
happiness,"lol simpsons S20E19: &quot;first day at your new school, so lisa: have fun!   and bart:  DON'T!&quot;"
happiness,http://twitpic.com/4jaw9 it's the frog who's been attacking Chelsey..LOL! Funny
happiness,@khriskhaos aww preciate the loves hunnie
happiness,Bom dia! Good Morning! Guten Morgen! I am returning to Twitter!
happiness,now we are also on twitter  follow us to know the latest!
happiness,@tom_howarth hehehehe I will keep silent now
happiness,Dump your worries in the Stress Fire. Fun and profoundly freeing  http://budurl.com/c765
happiness,@onlyhis2109 i can't wait to see!
happiness,Talking to my best mate and my boyfriend on msn
happiness,"@xranarawr haha i told you, it's not important"
happiness,@dduane *waves back* Have a good day
happiness,i finally found the perfect matte lcd cleaner!! i-nix screen cleaner ftw!
happiness,@cottonandcloud Moooorning! Fancy a coffee?
happiness,@rosehwang Good Evening Rose ....
happiness,"it's @andreamichellef's birthday today, wish her a good one assholes! Sleepytime"
happiness,"@MrFloydNL  thankyou very much, you rock!"
happiness,Down in Wellington for the Monet Exhibition. Casually just bumped into Wayne Brady in our hotel lobby!!  Mega exciting!!!
happiness,"@besz Well, good luck then."
happiness,"@fanboy_uk Yeah, but it's Myst!"
happiness,@Cadistra Ah brilliant! Thanks a bunch
happiness,@MicaR yup it gets better again after S4
happiness,"to @WebAnime and @tbaggins1, thanks for following me."
happiness,@peternomad Thanks! I know.
happiness,@LEGmin http://twitpic.com/4jaz5 - Cool... luv it
happiness,"@audreythebaby gandang mac un ah! for sure, if its out in the market mas mahal pa sya sa macbook pro. ang cool ng concept!"
happiness,I am now eating one of those big subway cookies with a glass of warm milk. YUM
happiness,Has had a really good bank hoilday
happiness,"@Broooooke_ kk's  have fun eating lol, remember shaun loves you haha"
happiness,watching JONAS for nick's beautiful voice to put me to sleep
happiness,@Brokenromantic haha malamang as one of my chef.
happiness,@TferThomas Thank you!
