emotion,content
happiness,@Sashairene hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that
happiness,"@wedplanworkshop . Flights already booked, plus its GGD2 1st birthday. Can't miss that ! especially as we missed GGD1"
happiness,Are u missing ur frnds ? Hear to &quot;Manasellaam &quot; From Kulir100 Degree movie. Its amazing !!!  Nanbargale - Miss u guys !!!
happiness,@cha_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL
happiness,so carlie came over and she fell asleep on me
happiness,"To all my friends: Im deeply sorry i'm moving, i will miss u all so very very much!"
happiness,@allyycase suuure
happiness,ah thats better snow patrol! now to be stuck indoors  still weekend coming up and fresh air excellent hope its sunny!
happiness,"up early again  loads to do- but the suns out, hurrah!"
happiness,@BevJack Babes it was sooo much fun!!  Thank you so much for making that happen!  Had fun with the ladies too!  Time went to fast.
happiness,@ColeDavid had  a little family party tonight   hope it rocked
happiness,I miss the concert Tuesday already. I'd really like a time machine to go see it again... It was so fun...
happiness,hahaha yeah i see that. but he can't twitter me back
happiness,Watching Jay Leno's 2nd last Tonight show   I haven't gone a day without Leno in like four yearss.
happiness,@assembled ive been there before  haha
happiness,"i have the biggest headache right now, i washed my hair wif mum's shampoo and now it's gross  i like my shampoo way better"
happiness,"Heading home now, yay! Was going to buy a much needed bottle of wine to drink with dinner, but my wallet is MIA so no wine for me tonight"
happiness,@captainboots  YOU'RE FAKING IT! Hahaha...I kid.
happiness,@pourmecoffee I won my 5th grade spelling bee. Went down trailing flames on 1st word at county spelling bee  http://post.ly/geb
happiness,Can you believe it:Tomorrow Night will be Jay Leno's last episode of the Tonight Show  I encourage everyone to watch it and welcome Conan.
happiness,Bought a new combo printer at costco today (officejet j4550) cause it was cheaper than ink 4 old one. #windows7 doesn't like the fax part
happiness,why do i have to wake up so early goddam?! 7.30 on my last day off  bummer
happiness,@tifftiff88 what don't be sad?  Be glad. Your 21
happiness,Goodmorning yall! I woke up to early
happiness,@SharktailYPP The red font up the top is very nice. But where did they put all the old entries?
happiness,@ahhrjay useless tweet! LOL jk yay!!! You're coming tmr! How long u gnna be in phils for  ?
happiness,I am soo happy! But frustrated at the same time!  :]  :S. Ohh noo!!! Britney is recording her new video for Radar!!!  Sooo ExxCiiTeed!!!
happiness,"BOOYA!! Sup Tweeps!? Happy inFAMOUS day to you all, off to get it very soon. Can't wait to play, need to find some more time though"
happiness,"@TerrenceJ106 I'm up wit cha!! Just got home from da reggae club, wishin I was sexin somebody!!!"
happiness,Is dreading going to work  BUT....its friiiiiday!! whoop!!!
happiness,I wanna go to DBSK oppa's Mirotic Concert in Thailand!!! I REALLY WANNA GO SO MUCHHHHH...    *burst into tears*
happiness,"@rettema &quot;might be interested&quot; - thanks, I was: I came, I saw, I winced..  too much like Flatland http://bit.ly/12f0y"
happiness,"@sueveeyall Haha, I wish I could"
happiness,"Warwick Castle http://snurl.com/izzau Amazing!  Off to Devon for a week...no internet, no updates"
happiness,good morning people !! in good old germany is it soooo cold
happiness,@sunnyphoenix there was like no1 there n tha DJ comp was hella wack... no gud DJs  but got in free so its all gud
happiness,wishes she would call him ...   *hc*
happiness,"My life what a beautiful morning, i can think if no better way to ruin it than by being at work"
happiness,wish my nicky were home too
happiness,hmm..Osaka. Last show today.Very sad  . i can decode ur msg ;) haha cant wait till u get 2 Sydney ;D i missed out on tickets tho :o xx
happiness,huhuhu still working to get new clients in motion graphics
happiness,"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels"
happiness,@Lara82 Yeah  He was such a good..erm...entertainment )
happiness,@mileycyrus I would totally take you to prom...if i hadnt already gone  sorry lol
happiness,@RASHIDIAN Come hang out wif meeee
happiness,Hmmm thinking about taking back that I feel better this morning - I think I spoke to early
happiness,@pyroezra i know!  i wish she would. I just wanna cuddle and sleeep in ga! And go to the world of coke
happiness,@carocat Nooo  But hey you're back next week! Are you moving back for good?
happiness,"@ykesha2001 yeah, I also had to do a paper.. I only have one more final left: algebra.. &amp; I take it on my birthday!!   (june 3)"
happiness,@_faeriequeen I just saw the Hamlet update too - excellent news... Never so good as live though
happiness,I can't work twitter on my phone!  we're just in bed thinking of funny stuff from last night! (L) GOOD TIMES!
happiness,@NMaize Lucky Rob... always gettin' the T8's from Emalon
happiness,Going back to Manila this evening. All my trips to Cebu are so bitin.
happiness,@drewpeacock85 cool dude! yeah i was hoping your rate was still $2.75. lol! yeah not sure when ill mar and par for my birthday dinner.
happiness,"Morning twitties! Heading to college, just back from the docs, god I'm hungry  streching my ears again today! 10mm ;) payday I love you!"
happiness,I have been playing skate for two hours. Now i need to get out and actually skate. But it's too late
happiness,"@mitch_400iso Me too, she was adorable and you could tell the pressure got to her."
happiness,@DaRealSunisaKim There's ding tai Fung here in Sydney aswell...  making me want dumplings...
happiness,This is one of my all-time favorite episodes/quotes from The OfficeUS only   )  http://bit.ly/ARMJ
happiness,I chilled in my room with my baby book missed my bro leavin  he really is cool had a stripper shirt on said I suppoort single moms! Funny
happiness,Sleep....take two....this better work!
happiness,@ACALLPRO -- yeahhh u wasnt thereeeeeeeeeee
happiness,@DeadMemoriesX Poor you   If I was with you right now; I would probably give you a hug ;D
happiness,"Wow what a sunny day,  just recovering some erased files"
happiness,is wondering where all her friends went...
happiness,@mangointhesky idk. The original is so great.
happiness,Finishing Homework.  BOOO
happiness,Football session after this.fun
happiness,job centre bound. oh yay.
happiness,"@hilsatlvsonline Thanks for the tip! Unfortunately a major crash in my https site, just as ExtPlorer"
happiness,@moneymakn1 Thats actually not that fun as you would think... I was hurting for a week after a similar experience.
happiness,@shaundiviney 04182012154 send me one PLEASE!! I TXTD IN BUT I GOT A NEW PHONE
happiness,@MarkStanto why thx! #webdu I was only at the conf on Thurs
happiness,Aww I heard I just missed you two @logieo &amp; @egg104 !
happiness,writing report cards  soooo tired but what an amazing day. check it out on fb soon!
happiness,"laughed so much today over that picture of lauren, that my chest hurts."
happiness,Lobbying in twitter! Here too!!  Yuk! Gettin rid of groupies ;)
happiness,@lisaxjbx3 Goodnight is not on the trending topics.  lol
happiness,Nevermind! Beyonce doesn't have a Twitter  Haha
happiness,@caldjr yeh me 2
happiness,"Just got Skyfire (http://get.skyfire.com/).  Firts impressions, it looks good but it's a little too memory hungry for my ageing HTC TyTN"
happiness,I hereby proclaim it to officially be summer as it is AWESOME today! But I'm stuck inside a chilly office
happiness,had the lovliest night last night but was ruined by doctors inability to warn me of side effects. back again for more tests.
happiness,Bumping Air Supply's Greastest Hits
happiness,Will be flying to Ontario in 4 hours!Will probably stay awake.I will be there for a 8 days...Camping 4 the first time YAY!I am sleepy now
happiness,is going back home  love ya Zagrebe &lt;3
happiness,staring at the sunshine through my office window!
happiness,"Mooorning! It's Friday, and that's terrific! Smile up!    :-|      :-D"
happiness,sadly awake. wondering about contact info for all of the fun folks I hung out with at the shop. YAY 23b!!! Miss you guys
happiness,"@realchrissystar we'll be back sunday to play @ the horse, I was out last night at mex you were not  miss you"
happiness,@AlexaRPD Nice action shot: http://bit.ly/m8zfx  I miss working a pole.   __ dont you see clients everyday?  lol
happiness,Good Morning Every1!!! Its gorgeous out again n im stuck in work  Wish i was at home chillin out.. Hopefully tha day goes quick  doh !!
happiness,watched the Bones finale last night in the UK &amp; it rocked!! oh how much I missed Zack!!!  @EricMillegan is so freakin' awesome &lt;3
happiness,Someone bring me milk for my cookies!
happiness,"on later than normal this morning, got attacked by a swarm of mini fly's after opening the veranda last night took an hour to get rid!!"
happiness,"Looks like a beautiful day...and I am off work til Sunday, yay!! No bbq as yet though, gonna have to postpone my invitations"
happiness,@primaveron I need them  It would've made my picture so much cooler. Mine are bottle green. Eeyea-thooo!
happiness,@andyroddick At work at the mo and it's so sunny here today   Off to see a band tonight!!
happiness,Such a nice day...and we're all working
happiness,good morning! off to the gym I go
happiness,AH! so nice to be back on bike commute although three days off and my (what google sez are called) my quadriceps literally screaming. gah
happiness,@iAmiAdam Hes away longer then me. Im only away for a few hours
happiness,@iPat143  hmm.. idk that song.
happiness,"Morning world, the sun seems to have gone away, maybe to Majorca or some other popular tourist spot. Hope it comes back soon"
happiness,The Renegades last day was today and...well... he's gone... didn't catch him  Gutted... Closest he came to Greenock was Kilmacolm!
happiness,Well that was an interesting attempt at the commute to work... didn't exactly plan to end up where I did though...great
happiness,@Jessums31 yup its working. they couldn't recover anything on it though
happiness,@trixie360 zombie wrangler sounds like fun. I don't have halo wars.
happiness,Good morning from RSA Twitterverse!! Please send me some happy vibes &amp; cheerfulness today I'm feeling a little sad
happiness,"early morning~2:30 am~what's up? I am!~~!!played w/ my babies outside~wow~was in the 80's~felt great!~~got lonely, misses sissy and jess"
happiness,@babyexpat commercial shoot in Tokyo. not much time to play there   quick and dirty
happiness,I soo wanna eat McDonalds Fries
happiness,I am totally knackered and back in the meeting
happiness,I am hungry already. Not impressed! And everybody has gone to Rubys
happiness,yay dad agreed to pay for my tuition and equipment! yipee not till nxt jan tho
happiness,got back from the embassy; missing one paper  go again on Monday!!!good luck me!!!
happiness,@mitchelmusso Heyyyyy us English fans want some signings too
happiness,Finally gonna try and fall asleep goodnight.. More like morn... I sleeP
happiness,"@tonibrockliss fyi, connie and carla is not as totally awesome as the previews make it seem  sorry about that one."
happiness,"Now that I have a salary, I can actually spend money. Hooray! Time to go shopping and have dinner at Ahora to say goodbye to @yusufyusuf."
happiness,"Finally, a beautiful, sunny day in Atlanta. Too bad I'm stuck inside working..."
happiness,@mselliott09 hahaha thanks for clearing up the
happiness,@TheMandyMoore good morning sunshine. sleepytown is sleepy.
happiness,"getting ready for the day, out then work till close"
happiness,so happy its friday...not so happy about this rain
happiness,"@i_dulay i swear it took me 2 hours to get from bel air to alabang.  but yes, i LOVED reminiscing about our HK trip with you &amp; @cdeocampo"
happiness,Very lonely here in Gosforth gallery  but excited for meal at Six followed by Antony and the Johnsons tonight. Woohoo!!
happiness,On my way to the burial
happiness,@pixls hahahahhahaha it was true! and i could really stretch out and stuff! shame rem's dog got mad when i tried to put him in avi's face
happiness,"Yay !!!! It's firday.... Have a good one everyone. On my way to work,    Lot's of work pending."
happiness,@iamchrisc I'm soo jealous right now!!
happiness,Just woke up! Annnnd have just realised I missed un uber sunny day...score
happiness,@Cholle2001 lucky...you get to do capoeira
happiness,Raining...  I missed the rain so much...  I am grateful for it ;)
happiness,"had fun tonight ^^ make up, pillow fights and skins. wish i could have stayed over"
happiness,Omega is tomorrow. Haven't really planned anything for it. Make sure to come if you can. It'll be awesome. Then move-in June 1st.
happiness,@zenithus at least you have a next year  into the big wide world for me!
happiness,"@flippy10 deh, i wish the deal was up when i bought my macbook in december  but.. at least i got 100 bucks off! :]"
happiness,Back home  Had a great time!
happiness,Havin a much better day today!! Finished the last Twilight book yesterday. Classes start next week!      Get at me yall!!
happiness,Hopped up out the bed put my swwwaaaaggg oooonnnn! Then got back in the bed it's raining
happiness,i got a freakin macbook!!!!! hoorayyy! but i freakin deleted phootbooth.
happiness,@EsmeACullen AWWWWWWW you totally rock...I felt all  and now I'm the happiest girl eva!
happiness,I did that once
happiness,"On the list of park closures - Calaveras Big Trees SP, where I'm headed this weekend. So glad to be visiting before it's too late."
happiness,"Sold bikes faster than expected, and we are running out of sizes.    Luckily the single speeds are on the ocean now! ETA -  EO June."
happiness,Just took daughter to school. Still tired and still no voice. I know some people are happy!! LOL. Time to get ready for work
happiness,"I've got a bit of neckache after going hard (not going home) at Alternative night. I mean I have to, it's nearly all over"
happiness,greeeeeeeeeeeat  this summer i have four classes...if you know me...u know why
happiness,@tiffaniallen: i'm happy you got your hair did!! and i cant wait til i get back to see it! we're leaving today
happiness,@lilabiem hahaha well why would you smack ME for that?!  hahaha THE BIG BANGGG
happiness,@GlasgowGooner Boo  well its good fun tho.. sucks if u cant get cards.. I finished 10th in last nights #tpt I took @street out LOL
happiness,"@HansenBanana Kayyy XD Yeah, everyone always talks about the part where the dog dies  I need to find a movie that you haven't seen now XD"
happiness,Broke my carafe  went to Starbucks for my caffiene fix and the lights go out...just for a sec but are you kidding me..got to laugh. Ha!
happiness,@GothLitChic It's too nice to be inside
happiness,"@aligomm wow! How cool is that! or was I guess, I have 18 now  haha get another follower!"
happiness,Vacation over!!!  Looking forward to the next one........
happiness,"Off to work. My last day. Get to walk around and out-process. I am very happy to be one step closer to what I really want to do, but  2."
happiness,@emily859 Glad to hear the weather's nice.  It's rained just about every day for the last five days.  Not fun for exploring
happiness,@Xanthetwirls I only saw urs by chance. Who else would have that name! Think I'll b missing 2nite too.  Thank god for YouTube.
happiness,chillin at home for the day yippee...wish @youngives was here to keep me company
happiness,@kiitzyy I think so hahah geez lady 3 hours ago?? Go to bed!! Lack of sleep is bad for your skin!
happiness,"The weather is SO nice! And there were so many hot guys in town, I felt like a kid in a candy store. Except all the candies are straight"
happiness,"@putitonmyvisa haha nice! I heard it's a sweet hotel. On another note, not a good game last night"
happiness,"My storm is acting up  ....Excited for the discussion session regarding Social Media. Scott Lake, CEO of ThinkSM, will be attending."
happiness,@peterfacinelli You didn't answer my riddle  Party pooper lol. Jokes Joyce  it was a good one tho haha. Hav a gr8 weekend!
happiness,Last time we'll get tacos like this.
happiness,@littlelaughalot nice! it's days like today I wish we had a garden
happiness,@kirstiealley It'd be nice but soon we'll have to Pay to Tweet
happiness,i really want to see cash cash again
happiness,aaah good bye mikee  smoked crabs!
happiness,@JamesScholes Yes. We have a copyright exemption we're apparently trying to ensure the rest of the world doesn't have.  #sccr18
happiness,Last night was fun w the lightening and thunder  Today will be in the 90s
happiness,@patrickmanning Yes PM PM you are right
happiness,@menchuly it's Friday and sweldo day too
happiness,@NikkiBons Happy Birthday Dork!! Lots of love for you today!!!  I wish I was there so I could buy you a drink   Make it a great night!
happiness,@DoperahStyles chillin promoting muzik...not eating  lmaao
happiness,Just had an iced coffee. Christ that tasted nasty
happiness,@filthydukes _yeah thanks for that you pair of gits  (hope it's mega- like the bus!)
happiness,Had a lovely day yesterday. The weather was great! Now stupid slapton
happiness,I am sick  but Ians coming over so its all good ;)
happiness,@MollieOfficial congrats mollie! just wish i could have got some tickets
happiness,It just hit me that I am leaving conti...     boooooooo..
happiness,"@lurkey hahaha chivalry's not dead, just rare"
happiness,@ConciseKilgore morning T! I love their breakfast! If I wasn't stuck at the shop right now getting maintenance done to the ride!
happiness,O dnt even like wearing  my skinny jean no more cuz of yall bitch ass ni99as...
happiness,"ooh lovely, a ridiculous amount of revision left to do"
happiness,"what up world im just chillin, bout to go get this money!! But in this economy no money is easy money anymore"
happiness,@arlastouch nothing yet  still looking....but lets for sure do lunch next week!!
happiness,@ElizaPatricia =o YOU SAW FLEETWOOD MAC! I'm insanely jealous. I don't have enough money to buy tickets.  I think I'll never see them. =(
happiness,So I get up early and I feel good about the day. I walk to work and I'm feeling alright. But guess what... I don't work today.
happiness,@cc_chapman #whuffaoke is the same night as @ACDC at Gillette Stadium!
happiness,"@bookaliciouspam Hey welcome to VA, LOL.  It's muggy up here by DC too.  Worst part of summer I'd say"
happiness,I don't think I'm very well. Just in time for the weekend
happiness,"I want dazzle,"
